"year","month","total","time"
2017,7,2019,Jul 2017
2017,8,1744,Aug 2017
2017,9,2509,Sep 2017
2017,10,1609,Oct 2017
2017,11,1902,Nov 2017
2017,12,1684,Dec 2017
2018,1,2940,Jan 2018
2018,2,2702,Feb 2018
2018,3,2429,Mar 2018
2018,4,2112,Apr 2018
2018,5,3428,May 2018
2018,6,8114,Jun 2018
2018,7,9337,Jul 2018
2018,8,3929,Aug 2018
2018,9,2438,Sep 2018
2018,10,2344,Oct 2018
2018,11,2178,Nov 2018
2018,12,2797,Dec 2018
2019,1,2110,Jan 2019
2019,2,1895,Feb 2019
2019,3,2078,Mar 2019
2019,4,1994,Apr 2019
2019,5,1794,May 2019
2019,6,1910,Jun 2019
2019,7,4378,Jul 2019
2019,8,1779,Aug 2019
2019,9,2158,Sep 2019
2019,10,2121,Oct 2019
2019,11,2071,Nov 2019
2019,12,2372,Dec 2019
2020,1,4270,Jan 2020
2020,2,2341,Feb 2020
2020,3,2320,Mar 2020
2020,4,2752,Apr 2020
2020,5,3254,May 2020
2020,6,2556,Jun 2020
2020,7,2712,Jul 2020
2020,8,2268,Aug 2020
2020,9,2046,Sep 2020
2020,10,3132,Oct 2020
2020,11,2282,Nov 2020
2020,12,2386,Dec 2020
2021,1,2445,Jan 2021
2021,2,2330,Feb 2021
2021,3,2918,Mar 2021
2021,4,2074,Apr 2021
2021,5,2041,May 2021
2021,6,2171,Jun 2021
2021,7,2633,Jul 2021
2021,8,3392,Aug 2021
2021,9,2247,Sep 2021
2021,10,2064,Oct 2021
2021,11,2065,Nov 2021
2021,12,2506,Dec 2021
2022,1,2535,Jan 2022
2022,2,2117,Feb 2022
2022,3,2443,Mar 2022
2022,4,2178,Apr 2022
2022,5,2036,May 2022
2022,6,2080,Jun 2022
2022,7,2281,Jul 2022
2022,8,2339,Aug 2022
2022,9,2408,Sep 2022
2022,10,2145,Oct 2022
2022,11,2238,Nov 2022
2022,12,2103,Dec 2022
2023,1,2104,Jan 2023
2023,2,2309,Feb 2023
2023,3,2175,Mar 2023
