"year","month","total","time"
2009,6,642,Jun 2009
2009,7,485,Jul 2009
2009,8,638,Aug 2009
2009,9,550,Sep 2009
2009,10,774,Oct 2009
2009,11,568,Nov 2009
2009,12,513,Dec 2009
2010,1,754,Jan 2010
2010,2,542,Feb 2010
2010,3,623,Mar 2010
2010,4,2963,Apr 2010
2010,5,997,May 2010
2010,6,866,Jun 2010
2010,7,2368,Jul 2010
2010,8,1080,Aug 2010
2010,9,764,Sep 2010
2010,10,855,Oct 2010
2010,11,897,Nov 2010
2010,12,792,Dec 2010
2011,1,633,Jan 2011
2011,2,649,Feb 2011
2011,3,678,Mar 2011
2011,4,706,Apr 2011
2011,5,694,May 2011
2011,6,660,Jun 2011
2011,7,818,Jul 2011
2011,8,795,Aug 2011
2011,9,840,Sep 2011
2011,10,547,Oct 2011
2011,11,776,Nov 2011
2011,12,554,Dec 2011
2012,1,568,Jan 2012
2012,2,587,Feb 2012
2012,3,638,Mar 2012
2012,4,719,Apr 2012
2012,5,640,May 2012
2012,6,562,Jun 2012
2012,7,590,Jul 2012
2012,8,937,Aug 2012
2012,9,1180,Sep 2012
2012,10,886,Oct 2012
2012,11,827,Nov 2012
2012,12,682,Dec 2012
2013,1,926,Jan 2013
2013,2,561,Feb 2013
2013,3,578,Mar 2013
2013,4,598,Apr 2013
2013,5,753,May 2013
2013,6,655,Jun 2013
2013,7,611,Jul 2013
2013,8,778,Aug 2013
2013,9,892,Sep 2013
2013,10,607,Oct 2013
2013,11,677,Nov 2013
2013,12,687,Dec 2013
2014,1,1151,Jan 2014
2014,2,771,Feb 2014
2014,3,1031,Mar 2014
2014,4,931,Apr 2014
2014,5,936,May 2014
2014,6,927,Jun 2014
2014,7,898,Jul 2014
2014,8,836,Aug 2014
2014,9,877,Sep 2014
2014,10,879,Oct 2014
2014,11,1094,Nov 2014
2014,12,974,Dec 2014
2015,1,1111,Jan 2015
2015,2,893,Feb 2015
2015,3,1019,Mar 2015
2015,4,878,Apr 2015
2015,5,892,May 2015
2015,6,853,Jun 2015
2015,7,1413,Jul 2015
2015,8,1140,Aug 2015
2015,9,1217,Sep 2015
2015,10,914,Oct 2015
2015,11,1035,Nov 2015
2015,12,889,Dec 2015
2016,1,1217,Jan 2016
2016,2,973,Feb 2016
2016,3,883,Mar 2016
2016,4,982,Apr 2016
2016,5,860,May 2016
2016,6,766,Jun 2016
2016,7,766,Jul 2016
2016,8,730,Aug 2016
2016,9,910,Sep 2016
2016,10,796,Oct 2016
2016,11,730,Nov 2016
2016,12,776,Dec 2016
2017,1,1424,Jan 2017
2017,2,1146,Feb 2017
2017,3,1468,Mar 2017
2017,4,1638,Apr 2017
2017,5,3906,May 2017
2017,6,1636,Jun 2017
2017,7,823,Jul 2017
2017,8,811,Aug 2017
2017,9,1607,Sep 2017
2017,10,681,Oct 2017
2017,11,638,Nov 2017
2017,12,730,Dec 2017
2018,1,1958,Jan 2018
2018,2,1729,Feb 2018
2018,3,1415,Mar 2018
2018,4,1160,Apr 2018
2018,5,2443,May 2018
2018,6,7124,Jun 2018
2018,7,8296,Jul 2018
2018,8,2439,Aug 2018
2018,9,1087,Sep 2018
2018,10,995,Oct 2018
2018,11,1117,Nov 2018
2018,12,1416,Dec 2018
2019,1,975,Jan 2019
2019,2,923,Feb 2019
2019,3,1022,Mar 2019
2019,4,875,Apr 2019
2019,5,828,May 2019
2019,6,761,Jun 2019
2019,7,3204,Jul 2019
2019,8,850,Aug 2019
2019,9,1217,Sep 2019
2019,10,1066,Oct 2019
2019,11,936,Nov 2019
2019,12,1200,Dec 2019
2020,1,3115,Jan 2020
2020,2,1396,Feb 2020
2020,3,1294,Mar 2020
2020,4,1669,Apr 2020
2020,5,2091,May 2020
2020,6,1372,Jun 2020
2020,7,1542,Jul 2020
2020,8,1182,Aug 2020
2020,9,934,Sep 2020
2020,10,2047,Oct 2020
2020,11,1332,Nov 2020
2020,12,1323,Dec 2020
2021,1,1331,Jan 2021
2021,2,932,Feb 2021
2021,3,871,Mar 2021
2021,4,836,Apr 2021
2021,5,749,May 2021
2021,6,1058,Jun 2021
2021,7,1417,Jul 2021
2021,8,1233,Aug 2021
2021,9,966,Sep 2021
2021,10,938,Oct 2021
2021,11,879,Nov 2021
2021,12,1145,Dec 2021
2022,1,1139,Jan 2022
2022,2,884,Feb 2022
2022,3,900,Mar 2022
2022,4,824,Apr 2022
2022,5,849,May 2022
2022,6,842,Jun 2022
2022,7,957,Jul 2022
2022,8,904,Aug 2022
2022,9,855,Sep 2022
2022,10,972,Oct 2022
2022,11,1022,Nov 2022
2022,12,981,Dec 2022
2023,1,931,Jan 2023
2023,2,849,Feb 2023
2023,3,1036,Mar 2023
